Total execution time:,
k=,0.013
0.013,
0.013,
0.012,
,
k=,0.015
0.021,
0.012,
0.012,
,
k=,0.013
0.013,
0.013,
0.013,
,
k=,0.016
0.012,
0.012,
0.023,
,
k=,0.013
0.013,
0.013,
0.013,
,
k=,0.012
0.012,
0.012,
0.012,
,
k=,0.016
0.021,
0.013,
0.013,
,
k=,0.016
0.013,
0.021,
0.013,
,
k=,0.013
0.013,
0.013,
0.013,
,
k=1,0.016
0.011,
0.023,
0.013,
