PAD,ack,copy_intro,e-fact,e-simple,hors,hrec,intro1,intro3,l-zipmap,l-zipunzip,max,mc91-e,mc91,mult-e-m1,mult-e-m2,mult-e,mult-m1,mult,repeat-e,r-lock-e,r-lock,sum-e-m1,sum-e,sum
0.018,0.011,0.010,0.010,0.010,0.009,0.010,0.010,0.010,0.010,0.010,0.010,0.019,0.014,0.010,0.012,0.011,0.011,0.010,0.011,0.010,0.010,0.010,0.010,0.009
0.010,0.012,0.011,0.009,0.010,0.009,0.009,0.009,0.010,0.012,0.009,0.010,0.011,0.010,0.011,0.013,0.010,0.013,0.011,0.010,0.011,0.011,0.011,0.011,0.011
0.011,0.020,0.014,0.010,0.011,0.011,0.011,0.011,0.012,0.017,0.012,0.012,0.013,0.015,0.011,0.016,0.013,0.017,0.013,0.010,0.012,0.012,0.011,0.013,0.011
0.013,0.046,0.017,0.012,0.009,0.010,0.016,0.010,0.010,0.024,0.014,0.013,0.023,0.026,0.013,0.021,0.013,0.028,0.014,0.013,0.011,0.013,0.013,0.012,0.014
0.014,0.155,0.020,0.014,0.009,0.012,1.464,0.010,0.009,0.035,0.018,0.012,0.024,0.052,0.015,0.030,0.016,0.040,0.020,0.017,0.012,0.012,0.016,0.013,0.015
0.018,0.974,0.037,0.015,0.010,0.013,10.006,0.010,0.009,0.055,0.022,0.012,0.090,0.159,0.017,0.026,0.017,0.061,0.019,10.004,0.012,0.012,0.016,0.013,0.018
0.023,7.054,0.042,0.018,0.009,0.013,10.006,0.009,0.010,0.065,0.025,0.012,0.305,0.589,0.025,0.028,0.020,0.118,0.025,10.004,0.014,0.014,0.014,0.026,0.023
0.027,10.004,0.058,0.021,0.010,0.017,10.007,0.010,0.012,0.083,0.040,0.016,1.300,1.870,0.026,0.033,0.024,0.150,0.029,10.005,0.012,0.012,0.013,0.022,0.025
0.028,10.002,0.064,0.021,0.011,0.017,10.008,0.009,0.010,0.113,0.040,0.012,0.643,6.283,0.031,0.043,0.025,0.263,0.036,10.005,0.024,0.014,0.015,0.018,0.030
0.032,10.006,0.077,0.025,0.013,0.021,10.005,0.012,0.011,0.114,0.053,0.014,2.990,21.006,0.040,0.037,0.023,0.260,0.035,10.005,0.013,0.013,0.017,0.035,0.034
0.049,10.004,0.112,0.029,0.010,0.020,10.010,0.013,0.011,0.141,0.060,0.013,10.640,1m9.739,0.056,0.057,0.025,0.420,0.050,10.005,0.013,0.013,0.018,0.040,0.053
