PAD,ack,copy_intro,e-fact,e-simple,hors,hrec,intro1,intro3,l-zipmap,l-zipunzip,max,mc91-e,mc91,mult-e-m1,mult-e-m2,mult-e,mult-m1,mult,repeat-e,r-lock-e,r-lock,sum-e-m1,sum-e,sum
,0.011,0.009,0.011,0.019,0.02,0.019,0.013,0.01,0.01,0.009,0.011,0.01,0.01,0.011,0.01,0.01,0.01,0.01,0.011,0.01,0.011,0.011,0.01,0.009
0.011,0.012,0.013,0.011,0.009,0.009,0.01,0.01,0.009,0.012,0.01,0.01,0.011,0.011,0.01,0.013,0.011,0.012,0.01,0.011,0.01,0.01,0.01,0.011,0.01
0.011,0.02,0.013,0.011,0.01,0.01,0.011,0.012,0.009,0.017,0.011,0.012,0.013,0.014,0.012,0.016,0.013,0.019,0.013,0.011,0.012,0.013,0.011,0.012,0.012
0.013,0.046,0.016,0.013,0.01,0.01,0.017,0.01,0.01,0.025,0.014,0.013,0.023,0.025,0.013,0.019,0.014,0.031,0.014,0.013,0.011,0.013,0.013,0.012,0.013
0.015,0.158,0.02,0.013,0.009,0.012,1.477,0.01,0.01,0.034,0.018,0.011,0.025,0.054,0.015,0.031,0.017,0.042,0.016,0.018,0.011,0.013,0.017,0.013,0.015
0.018,0.933,0.029,0.015,0.009,0.013,10.006,0.009,0.01,0.049,0.021,0.012,0.087,0.155,0.017,0.025,0.018,0.06,0.019,10.003,0.011,0.012,0.016,0.013,0.018
0.022,7.262,0.044,0.018,0.011,0.016,10.007,0.009,0.01,0.064,0.026,0.012,0.303,0.582,0.019,0.027,0.02,0.113,0.025,10.004,0.014,0.013,0.014,0.023,0.025
0.025,10.004,0.062,0.019,0.01,0.015,10.006,0.011,0.01,0.074,0.034,0.012,1.189,1.777,0.025,0.035,0.024,0.145,0.03,10.004,0.011,0.012,0.014,0.022,0.025
0.029,10.003,0.063,0.021,0.011,0.017,10.009,0.01,0.01,0.112,0.041,0.011,0.622,6.269,0.032,0.042,0.024,0.234,0.033,10.006,0.03,0.013,0.015,0.018,0.03
0.033,10.006,0.073,0.024,0.011,0.018,10.005,0.012,0.011,0.112,0.05,0.014,3.013,21.318,0.04,0.036,0.023,0.249,0.035,10.005,0.013,0.013,0.016,0.035,0.034
0.049,10.005,0.121,0.028,0.011,0.021,10.01,0.013,0.011,0.139,0.06,0.013,10.21,1m7.952,0.056,0.055,0.024,0.389,0.049,10.006,0.012,0.013,0.016,0.038,0.051
