Total execution time:,
k=,0.0163333333
0.02,
0.009,
0.02,
,
k=,0.0176666667
0.021,
0.02,
0.012,
,
k=,0.0183333333
0.021,
0.021,
0.013,
,
k=,0.018
0.012,
0.021,
0.021,
,
k=,0.0183333333
0.013,
0.021,
0.021,
,
k=,0.0183333333
0.022,
0.021,
0.012,
,
k=,0.0166666667
0.021,
0.016,
0.013,
,
k=,0.0153333333
0.012,
0.021,
0.013,
,
k=,0.0183333333
0.013,
0.021,
0.021,
,
k=1,0.019
0.021,
0.023,
0.013,
