Total execution time:,
k=,0.02
0.02,
0.02,
0.02,
,
k=,0.02
0.02,
0.02,
0.02,
,
k=,0.0203333333
0.02,
0.02,
0.021,
,
k=,0.021
0.021,
0.021,
0.021,
,
k=,0.0213333333
0.021,
0.022,
0.021,
,
k=,0.018
0.021,
0.021,
0.012,
,
k=,0.0196666667
0.017,
0.021,
0.021,
,
k=,0.0183333333
0.021,
0.013,
0.021,
,
k=,0.018
0.021,
0.021,
0.012,
,
k=1,0.021
0.021,
0.021,
0.021,
