Total execution time (s),Averages (s)
K=1,0.014
0.012,
0.019,
0.012,
,
K=2,0.017
0.014,
0.024,
0.014,
,
K=3,0.014
0.013,
0.014,
0.015,
,
K=4,0.026
0.021,
0.036,
0.021,
,
K=5,0.038
0.025,
0.042,
0.046,
,
K=6,0.048
0.033,
0.056,
0.055,
,
K=7,0.050
0.042,
0.044,
0.063,
,
K=8,0.066
0.058,
0.078,
0.061,
,
K=9,0.069
0.056,
0.076,
0.076,
,
K=10,0.078
0.071,
0.09,
0.073,
