Total execution time:,
K=1,0.017
0.02,
0.02,
0.012,
,
K=2,0.019
0.013,
0.022,
0.022,
,
K=3,0.017
0.013,
0.024,
0.013,
,
K=4,0.023
0.017,
0.027,
0.026,
,
K=5,0.026
0.03,
0.018,
0.029,
,
K=6,0.024
0.02,
0.018,
0.034,
,
K=7,0.037
0.037,
0.037,
0.037,
K=8,0.042
0.042,
0.042,
0.041,
K=9,0.042
0.037,
0.045,
0.044,
K=10,0.041
0.03,
0.044,
0.048,
,
K=11,0.029
0.027,
0.033,
0.027,
