Total execution time:,
k=,0.012
0.011,
0.011,
0.014,
,
k=,0.011
0.011,
0.011,
0.011,
,
k=,0.017
0.014,
0.024,
0.014,
,
k=,0.012
0.014,
0.011,
0.011,
,
k=,0.013
0.015,
0.013,
0.011,
,
k=,0.014
0.016,
0.012,
0.014,
,
k=,0.013
0.015,
0.012,
0.011,
,
k=,0.013
0.015,
0.011,
0.012,
,
k=,0.013
0.014,
0.013,
0.011,
,
k=1,0.017
0.023,
0.015,
0.014,
