Total execution time:,
k=,0.018
0.028,
0.013,
0.012,
,
k=,0.012
0.012,
0.012,
0.012,
,
k=,0.016
0.013,
0.015,
0.021,
,
k=,0.013
0.015,
0.013,
0.012,
,
k=,0.016
0.013,
0.023,
0.013,
,
k=,0.013
0.014,
0.013,
0.012,
,
k=,0.014
0.015,
0.013,
0.013,
,
k=,0.016
0.013,
0.013,
0.021,
,
k=,0.015
0.021,
0.013,
0.012,
,
k=1,0.013
0.014,
0.013,
0.013,
