Total execution times (s),Averages (s)
K=1,0.016
0.016,
0.018,
0.015,
,
K=2,0.016
0.014,
0.015,
0.018,
,
K=3,0.026
0.024,
0.028,
0.025,
,
K=4,0.045
0.044,
0.043,
0.049,
,
K=5,0.145
0.138,
0.135,
0.162,
,
K=6,0.843
0.839,
0.838,
0.853,
,
K=7,8.244
8.137,
8.303,
8.293,
,
k=8: TIMEOUT (10s),10.000
