Total execution time:,
k=,0.013
0.013,
0.014,
0.012,
,
k=,0.015
0.012,
0.012,
0.02,
,
k=,0.020
0.02,
0.02,
0.02,
,
k=,0.014
0.012,
0.018,
0.012,
,
k=,0.015
0.021,
0.012,
0.012,
,
k=,0.015
0.012,
0.02,
0.012,
,
k=,0.012
0.012,
0.012,
0.013,
,
k=,0.019
0.018,
0.02,
0.019,
,
k=,0.015
0.013,
0.02,
0.012,
,
k=1,0.017
0.02,
0.012,
0.02,
