Total execution time:,,
K=1,0.014,
0.015,,
0.012,,
0.015,,
,,
K=2,0.014,
0.015,,
0.013,,
0.014,,
,,
K=3,0.014,counterexample found
0.014,,
0.015,,
0.014,,
,,
K=4,0.014,
0.015,,
0.011,,
0.016,,
,,
K=5,0.015,
0.015,,
0.015,,
0.015,,
,,
K=6,0.014,
0.015,,
0.014,,
0.014,,
,,
K=7,0.015,
0.015,,
0.015,,
0.015,,
,,
K=8,0.015,
0.015,,
0.015,,
0.015,,
,,
K=9,0.019,
0.015,,
0.015,,
0.026,,
,,
K=10,0.016,
0.017,,
0.015,,
0.015,,
