Total execution time:,
k=,0.0166666667
0.012,
0.019,
0.019,
,
k=,0.019
0.022,
0.022,
0.013,
,
k=,0.026
0.026,
0.026,
0.026,
,
k=,0.0223333333
0.015,
0.026,
0.026,
,
k=,0.024
0.026,
0.026,
0.02,
,
k=,0.0223333333
0.015,
0.026,
0.026,
,
k=,0.026
0.026,
0.027,
0.025,
,
k=,0.0256666667
0.025,
0.026,
0.026,
,
k=,0.022
0.026,
0.015,
0.025,
,
k=1,0.0236666667
0.027,
0.026,
0.018,
