ref-1,0.005,0.009,0.014,0.014,0.010,0.007,0.008,0.010,0.012,0.013,0.007,0.013,0.012,0.009,0.013,
ref-1-e,0.013,0.007,0.009,0.005,0.015,0.023,0.009,0.008,0.013,0.013,0.012,0.013,0.013,0.012,0.009,
ref-2,0.012,0.007,0.009,0.013,0.009,0.012,0.008,0.009,0.012,0.009,0.007,0.012,0.011,0.009,0.007,
ref-2-e,0.014,0.007,0.008,0.012,0.006,0.012,0.013,0.012,0.012,0.009,0.008,0.012,0.012,0.014,0.008,
ref-3,0.008,0.013,0.015,0.021,0.014,0.016,0.019,0.020,0.028,0.047,0.099,0.198,0.207,0.213,0.212,
